chr1_1250000	chr4_155250000
chr1_2750000	chr4_154250000
chr1_3250000	chr4_153750000
chr1_3750000	chr4_153250000
chr1_4750000	chr4_152750000
chr1_5250000	chr4_152250000
chr1_6250000	chr4_151750000
chr1_6750000	chr4_151250000
chr1_7250000	chr4_150750000
chr1_8250000	chr4_150250000
chr1_8750000	chr4_149750000
chr1_9750000	chr4_149250000
chr1_10250000	chr4_148750000
chr1_10750000	chr4_148250000
chr1_11250000	chr4_147750000
chr1_12250000	chr4_144750000
chr1_14250000	chr4_142750000
chr1_14750000	chr4_142250000
chr1_15250000	chr4_141750000
chr1_16250000	chr4_141250000
chr1_16750000	chr4_140750000
chr1_17750000	chr4_140250000
chr1_18750000	chr4_139750000
chr1_19250000	chr4_139250000
chr1_19750000	chr4_138750000
chr1_20750000	chr4_138250000
chr1_21250000	chr4_137750000
chr1_23250000	chr4_136250000
chr1_23750000	chr4_135750000
chr1_24250000	chr4_135250000
chr1_25250000	chr4_134750000
chr1_26750000	chr4_133750000
chr1_27250000	chr4_133250000
chr1_27750000	chr4_132750000
chr1_28250000	chr4_132250000
chr1_29250000	chr4_131750000
chr1_31250000	chr4_130250000
chr1_32250000	chr4_129750000
chr1_32750000	chr4_129250000
chr1_33250000	chr4_128750000
chr1_33750000	chr4_128250000
chr1_34750000	chr4_127750000
chr1_35750000	chr4_126750000
chr1_36250000	chr4_126250000
chr1_36750000	chr4_125750000
chr1_37250000	chr4_125250000
chr1_38250000	chr4_124750000
chr1_38750000	chr4_124250000
chr1_39250000	chr4_123750000
chr1_39750000	chr4_123250000
chr1_40250000	chr4_122750000
chr1_40750000	chr4_120750000
chr1_41250000	chr4_120250000
chr1_41750000	chr4_119750000
chr1_42750000	chr4_119250000
chr1_43750000	chr4_118250000
chr1_44250000	chr4_117750000
chr1_44750000	chr4_117250000
chr1_45250000	chr4_116750000
chr1_46250000	chr4_116250000
chr1_46750000	chr4_115750000
chr1_47750000	chr4_114750000
chr1_48250000	chr4_114250000
chr1_49250000	chr4_111250000
chr1_50750000	chr4_109750000
chr1_51250000	chr4_109250000
chr1_52250000	chr4_108750000
chr1_52750000	chr4_108250000
chr1_53750000	chr4_107750000
chr1_54750000	chr4_106750000
chr1_57250000	chr4_104750000
chr1_57750000	chr4_104250000
chr1_58250000	chr4_103750000
chr1_58750000	chr4_103250000
chr1_59250000	chr4_94750000
chr1_59750000	chr4_95250000
chr1_60750000	chr4_96750000
chr1_61250000	chr4_97250000
chr1_61750000	chr4_97750000
chr1_63250000	chr4_98750000
chr1_63750000	chr4_99250000
chr1_64250000	chr4_99750000
chr1_64750000	chr4_100250000
chr1_65250000	chr4_100750000
chr1_66750000	chr4_102250000
chr1_67250000	chr4_102750000
chr1_70750000	chr3_157750000
chr1_72250000	chr3_156750000
chr1_72750000	chr3_156250000
chr1_75250000	chr3_154250000
chr1_76750000	chr3_153250000
chr1_78250000	chr3_151750000
chr1_79750000	chr3_150750000
chr1_80250000	chr3_150250000
chr1_81750000	chr3_149250000
chr1_82250000	chr3_148750000
chr1_82750000	chr3_148250000
chr1_83250000	chr3_147750000
chr1_84250000	chr3_146750000
chr1_86250000	chr3_145250000
chr1_87750000	chr3_143750000
chr1_88250000	chr3_143250000
chr1_88750000	chr3_142750000
chr1_91250000	chr5_106750000
chr1_92250000	chr5_107750000
chr1_93250000	chr5_108250000
chr1_93750000	chr5_108750000
chr1_94250000	chr3_122250000
chr1_94750000	chr3_121750000
chr1_95250000	chr3_121250000
chr1_95750000	chr3_120750000
chr1_96750000	chr3_119750000
chr1_97250000	chr3_119250000
chr1_97750000	chr3_118750000
chr1_98250000	chr3_118250000
chr1_98750000	chr3_117750000
chr1_99750000	chr3_117250000
chr1_100250000	chr3_116750000
chr1_100750000	chr3_116250000
chr1_101250000	chr3_115750000
chr1_101750000	chr3_115250000
chr1_107750000	chr3_109750000
chr1_108250000	chr3_109250000
chr1_109250000	chr3_108750000
chr1_109750000	chr3_108250000
chr1_110250000	chr3_107750000
chr1_110750000	chr3_107250000
chr1_111250000	chr3_106750000
chr1_112250000	chr3_105250000
chr1_113250000	chr3_104750000
chr1_113750000	chr3_104250000
chr1_114250000	chr3_103750000
chr1_116250000	chr3_101750000
chr1_117250000	chr3_101250000
chr1_117750000	chr3_100750000
chr1_118250000	chr3_100250000
chr1_118750000	chr3_99750000
chr1_119250000	chr3_99250000
chr1_150250000	chr3_95750000
chr1_150750000	chr3_95250000
chr1_151250000	chr3_94750000
chr1_151750000	chr3_94250000
chr1_152250000	chr3_93250000
chr1_153750000	chr3_90250000
chr1_154250000	chr3_89750000
chr1_154750000	chr3_89250000
chr1_156250000	chr3_88250000
chr1_156750000	chr3_87750000
chr1_159250000	chr1_175250000
chr1_160250000	chr1_174250000
chr1_161250000	chr1_173250000
chr1_161750000	chr1_172750000
chr1_162250000	chr1_172250000
chr1_162750000	chr1_171750000
chr1_163750000	chr1_171250000
chr1_164250000	chr1_170750000
chr1_164750000	chr1_170250000
chr1_165250000	chr1_169750000
chr1_165750000	chr1_169250000
chr1_166750000	chr1_168250000
chr1_167250000	chr1_167750000
chr1_170250000	chr1_165750000
chr1_170750000	chr1_165250000
chr1_172250000	chr1_164250000
chr1_172750000	chr1_163750000
chr1_173750000	chr1_162750000
chr1_174750000	chr1_162250000
chr1_175250000	chr1_161750000
chr1_176750000	chr1_160750000
chr1_177250000	chr1_160250000
chr1_177750000	chr1_159750000
chr1_178250000	chr1_159250000
chr1_179250000	chr1_158750000
chr1_180250000	chr1_157750000
chr1_180750000	chr1_157250000
chr1_181250000	chr1_156750000
chr1_181750000	chr1_156250000
chr1_183250000	chr1_154750000
chr1_184750000	chr1_153750000
chr1_185250000	chr1_153250000
chr1_185750000	chr1_152750000
chr1_186250000	chr1_152250000
chr1_187750000	chr1_150750000
chr1_193750000	chr1_144750000
chr1_197250000	chr1_141250000
chr1_197750000	chr1_140750000
chr1_198250000	chr1_140250000
chr1_199750000	chr1_139250000
chr1_200250000	chr1_138750000
chr1_200750000	chr1_138250000
chr1_201250000	chr1_137750000
chr1_201750000	chr1_137250000
chr1_202250000	chr1_136750000
chr1_203750000	chr1_135750000
chr1_204250000	chr1_135250000
chr1_204750000	chr1_134750000
chr1_205250000	chr1_134250000
chr1_205750000	chr1_133750000
chr1_206750000	chr1_133250000
chr1_207250000	chr1_132750000
chr1_208250000	chr1_196750000
chr1_208750000	chr1_196250000
chr1_209250000	chr1_195750000
chr1_209750000	chr1_195250000
chr1_210250000	chr1_194750000
chr1_211750000	chr1_193750000
chr1_212250000	chr1_193250000
chr1_213250000	chr1_192750000
chr1_213750000	chr1_192250000
chr1_214250000	chr1_191750000
chr1_215750000	chr1_190750000
chr1_216250000	chr1_190250000
chr1_216750000	chr1_189750000
chr1_217750000	chr1_189250000
chr1_218250000	chr1_188750000
chr1_218750000	chr1_188250000
chr1_219750000	chr1_187750000
chr1_220750000	chr1_186750000
chr1_221250000	chr1_186250000
chr1_223750000	chr1_184750000
chr1_224250000	chr1_184250000
chr1_224750000	chr1_183250000
chr1_225750000	chr1_183750000
chr1_226250000	chr1_182750000
chr1_226750000	chr1_182250000
chr1_232750000	chr8_128250000
chr1_234750000	chr8_129250000
chr1_236750000	chr13_12250000
chr1_237750000	chr13_11750000
chr1_240750000	chr1_176750000
chr1_243750000	chr1_178750000
chr1_244250000	chr1_179250000
chr1_245250000	chr1_180250000
chr1_245750000	chr1_180750000
chr1_246250000	chr1_181250000
chr2_1750000	chr12_30750000
chr2_2250000	chr12_30250000
chr2_2750000	chr12_29750000
chr2_5750000	chr12_28250000
chr2_6250000	chr12_27750000
chr2_6750000	chr12_27250000
chr2_7750000	chr12_26750000
chr2_8250000	chr12_26250000
chr2_8750000	chr12_25750000
chr2_10750000	chr12_17250000
chr2_11750000	chr12_16750000
chr2_12250000	chr12_16250000
chr2_12750000	chr12_15750000
chr2_15750000	chr12_13250000
chr2_16250000	chr12_12750000
chr2_17750000	chr12_11250000
chr2_18750000	chr12_10250000
chr2_19250000	chr12_9750000
chr2_19750000	chr12_9250000
chr2_20250000	chr12_8750000
chr2_21750000	chr12_7750000
chr2_22750000	chr12_6250000
chr2_23250000	chr12_5750000
chr2_23750000	chr12_5250000
chr2_24250000	chr12_4750000
chr2_24750000	chr12_4250000
chr2_25750000	chr12_3750000
chr2_26250000	chr12_3250000
chr2_26750000	chr5_30750000
chr2_27250000	chr5_31250000
chr2_27750000	chr5_31750000
chr2_28250000	chr5_32250000
chr2_29750000	chr17_72750000
chr2_31250000	chr17_73750000
chr2_32250000	chr17_74750000
chr2_32750000	chr17_75250000
chr2_33750000	chr17_75750000
chr2_36750000	chr17_78750000
chr2_37250000	chr17_79250000
chr2_37750000	chr17_79750000
chr2_38750000	chr17_80250000
chr2_39250000	chr17_80750000
chr2_39750000	chr17_81250000
chr2_42250000	chr17_83750000
chr2_43750000	chr17_84750000
chr2_44250000	chr17_85250000
chr2_44750000	chr17_85750000
chr2_45250000	chr17_86250000
chr2_46250000	chr17_86750000
chr2_46750000	chr17_87250000
chr2_47250000	chr17_87750000
chr2_49250000	chr17_89250000
chr2_50750000	chr17_91250000
chr2_54250000	chr11_30750000
chr2_55250000	chr11_29750000
chr2_55750000	chr11_29250000
chr2_56250000	chr11_28750000
chr2_58250000	chr11_26750000
chr2_59250000	chr11_25750000
chr2_60250000	chr11_24750000
chr2_61750000	chr11_23250000
chr2_63250000	chr11_21750000
chr2_64250000	chr11_21250000
chr2_64750000	chr11_20750000
chr2_65250000	chr11_20250000
chr2_65750000	chr11_19750000
chr2_66250000	chr11_19250000
chr2_66750000	chr11_18750000
chr2_67250000	chr11_18250000
chr2_67750000	chr11_17750000
chr2_68250000	chr11_17250000
chr2_69750000	chr6_86750000
chr2_71750000	chr6_84250000
chr2_72750000	chr6_84750000
chr2_73250000	chr6_85250000
chr2_74750000	chr6_83250000
chr2_85250000	chr6_72750000
chr2_85750000	chr6_72250000
chr2_86250000	chr6_71750000
chr2_88750000	chr6_70750000
chr2_99250000	chr1_37250000
chr2_99750000	chr1_37750000
chr2_100250000	chr1_38250000
chr2_100750000	chr1_38750000
chr2_101750000	chr1_39250000
chr2_103750000	chr1_41250000
chr2_105250000	chr1_42750000
chr2_109250000	chr10_57750000
chr2_111750000	chr2_127750000
chr2_113250000	chr2_128750000
chr2_113750000	chr2_24250000
chr2_115250000	chr1_126750000
chr2_118750000	chr1_123250000
chr2_119250000	chr1_122750000
chr2_119750000	chr1_122250000
chr2_120750000	chr1_121750000
chr2_121250000	chr1_121250000
chr2_121750000	chr1_120750000
chr2_128250000	chr18_32250000
chr2_128750000	chr18_31750000
