mCortex_chr4_154500000	-0.031051	-0.042126	0.023756	-0.031136	0.005489	0.000275	0.035614	0.005181	0.008074	-0.000515
mCortex_chr4_153500000	-0.030276	-0.040779	0.020718	-0.021468	0.005338	0.005166	0.021928	-0.002905	0.031808	0.003653
mCortex_chr4_152500000	-0.028938	-0.038738	0.017033	-0.022159	-0.002729	0.011024	0.019448	-0.009173	0.039432	0.011830
mCortex_chr4_151500000	-0.030777	-0.041536	0.021763	-0.024560	0.004646	0.002241	0.025789	0.003351	0.019447	0.001090
mCortex_chr4_150500000	-0.030548	-0.041218	0.020845	-0.025971	0.004309	0.003184	0.027760	0.005329	0.016029	0.003139
mCortex_chr4_149500000	-0.031681	-0.042828	0.022073	-0.025371	0.007786	-0.002790	0.029753	0.008970	0.008998	-0.000429
mCortex_chr4_148500000	-0.030324	-0.041072	0.021173	-0.037596	-0.000149	0.005719	0.043815	0.005587	0.002714	0.002161
mCortex_chr4_147500000	-0.025557	-0.034077	0.013911	-0.057653	-0.019004	0.017509	0.073084	0.024348	-0.008158	0.006618
mCortex_chr4_144500000	-0.018495	0.011823	-0.014600	-0.072728	-0.033628	0.038629	-0.003736	0.094105	0.075477	0.008440
mCortex_chr4_142500000	-0.015844	-0.009147	-0.031585	-0.088302	-0.071442	0.071201	0.073395	0.087552	0.064075	0.027615
mCortex_chr4_139500000	-0.030665	-0.041517	0.023100	-0.026652	0.003255	0.000165	0.027218	-0.000147	0.018002	-0.000002
mCortex_chr4_137500000	-0.031499	-0.042658	0.023898	-0.022044	0.010760	-0.006279	0.023874	0.004760	0.010608	-0.003696
mCortex_chr4_136500000	-0.031041	-0.041770	0.021959	-0.016712	0.008603	-0.005811	0.018301	0.009029	0.020709	-0.000836
mCortex_chr4_134500000	-0.031953	-0.043031	0.022360	-0.017146	0.010052	-0.007123	0.017720	0.008698	0.013762	-0.003122
mCortex_chr4_132500000	-0.031732	-0.042801	0.022638	-0.019267	0.010972	-0.007970	0.022027	0.010900	0.007233	-0.004203
mCortex_chr4_131500000	-0.031250	-0.041778	0.018410	-0.012960	0.008154	-0.002864	0.013561	0.006654	0.024631	0.004850
mCortex_chr4_130500000	-0.030729	-0.041222	0.019066	-0.016623	0.006673	-0.002299	0.017143	0.005095	0.022457	0.005135
mCortex_chr4_129500000	-0.031347	-0.042429	0.023892	-0.023322	0.009120	-0.003963	0.025395	0.006789	0.011589	-0.003048
mCortex_chr4_128500000	-0.030304	-0.041021	0.024208	-0.025126	0.006633	-0.000875	0.027801	0.008453	0.013632	-0.006487
mCortex_chr4_127500000	-0.028662	-0.038252	0.014684	-0.021725	0.000814	0.006117	0.023191	0.001311	0.026604	0.014434
mCortex_chr4_126500000	-0.029039	-0.039246	0.022576	-0.027309	0.003497	-0.003090	0.033160	0.014489	0.010128	-0.002362
mCortex_chr4_125500000	-0.029719	-0.039825	0.016755	-0.025475	-0.001847	0.006389	0.027781	0.003087	0.024440	0.007701
mCortex_chr4_124500000	-0.028429	-0.038134	0.015916	-0.034387	-0.007167	0.008530	0.040860	0.004551	0.016591	0.007769
mCortex_chr4_123500000	-0.025952	-0.034519	0.013095	-0.043876	-0.011600	0.015594	0.057729	0.019767	0.011819	0.009212
mCortex_chr4_122500000	-0.014727	-0.012210	-0.011301	-0.086291	-0.058010	0.049847	0.092603	0.108490	0.021676	0.026885
mCortex_chr4_120500000	-0.015569	-0.012814	-0.014903	-0.083371	-0.060075	0.050800	0.086906	0.105621	0.028399	0.028074
